Step,Alpha,Population
26,1.55102,0.422602
26,1.60204,3.24842
26,1.65306,3.78857
26,1.70408,1.01174
26,1.7551,0
26,1.80612,0
26,1.85714,0
26,1.90816,0
26,1.95918,0
26,2.0102,0
26,2.06122,0
26,2.11224,0
26,2.16327,0
26,2.21429,0
26,2.26531,0
26,2.31633,0
26,2.36735,0
26,2.41837,0
26,2.46939,0
26,2.52041,0
26,2.57143,0
26,2.62245,0
26,2.67347,0
26,2.72449,0
26,2.77551,0
26,2.82653,0
26,2.87755,0
26,2.92857,0
26,2.97959,0
26,3.03061,0
26,3.08163,0
26,3.13265,0
26,3.18367,0
26,3.23469,0
26,3.28571,0
26,3.33673,0
26,3.38776,0
26,3.43878,0
26,3.4898,0
26,3.54082,0
26,3.59184,0
26,3.64286,0
26,3.69388,0
26,3.7449,0
26,3.79592,0
26,3.84694,0
26,3.89796,0
26,3.94898,0
26,4,0
27,1.5,0.00381484
27,1.55102,0.313551
27,1.60204,2.68486
27,1.65306,4.23831
27,1.70408,1.21545
27,1.7551,0
27,1.80612,0
27,1.85714,0
27,1.90816,0
27,1.95918,0
27,2.0102,0
27,2.06122,0
27,2.11224,0
27,2.16327,0
27,2.21429,0
27,2.26531,0
27,2.31633,0
27,2.36735,0
27,2.41837,0
27,2.46939,0
27,2.52041,0
27,2.57143,0
27,2.62245,0
27,2.67347,0
27,2.72449,0
27,2.77551,0
27,2.82653,0
27,2.87755,0
27,2.92857,0
27,2.97959,0
27,3.03061,0
27,3.08163,0
27,3.13265,0
27,3.18367,0
27,3.23469,0
27,3.28571,0
27,3.33673,0
27,3.38776,0
27,3.43878,0
27,3.4898,0
27,3.54082,0
27,3.59184,0
27,3.64286,0
27,3.69388,0
27,3.7449,0
27,3.79592,0
27,3.84694,0
27,3.89796,0
27,3.94898,0
27,4,0
28,1.5,0.00235033
28,1.55102,0.232613
28,1.60204,2.15028
28,1.65306,4.54645
28,1.70408,1.47716
28,1.7551,0
28,1.80612,0
28,1.85714,0
28,1.90816,0
28,1.95918,0
28,2.0102,0
28,2.06122,0
28,2.11224,0
28,2.16327,0
28,2.21429,0
28,2.26531,0
28,2.31633,0
28,2.36735,0
28,2.41837,0
28,2.46939,0
28,2.52041,0
28,2.57143,0
28,2.62245,0
28,2.67347,0
28,2.72449,0
28,2.77551,0
28,2.82653,0
28,2.87755,0
28,2.92857,0
28,2.97959,0
28,3.03061,0
28,3.08163,0
28,3.13265,0
28,3.18367,0
28,3.23469,0
28,3.28571,0
28,3.33673,0
28,3.38776,0
28,3.43878,0
28,3.4898,0
28,3.54082,0
28,3.59184,0
28,3.64286,0
28,3.69388,0
28,3.7449,0
28,3.79592,0
28,3.84694,0
28,3.89796,0
28,3.94898,0
28,4,0
29,1.5,0.00148904
29,1.55102,0.169554
29,1.60204,1.76463
29,1.65306,5.06332
29,1.70408,1.8275
29,1.7551,0
29,1.80612,0
29,1.85714,0
29,1.90816,0
29,1.95918,0
29,2.0102,0
29,2.06122,0
29,2.11224,0
29,2.16327,0
29,2.21429,0
29,2.26531,0
29,2.31633,0
29,2.36735,0
29,2.41837,0
29,2.46939,0
29,2.52041,0
29,2.57143,0
29,2.62245,0
29,2.67347,0
29,2.72449,0
29,2.77551,0
29,2.82653,0
29,2.87755,0
29,2.92857,0
29,2.97959,0
29,3.03061,0
29,3.08163,0
29,3.13265,0
29,3.18367,0
29,3.23469,0
29,3.28571,0
29,3.33673,0
29,3.38776,0
29,3.43878,0
29,3.4898,0
29,3.54082,0
29,3.59184,0
29,3.64286,0
29,3.69388,0
29,3.7449,0
29,3.79592,0
29,3.84694,0
29,3.89796,0
29,3.94898,0
29,4,0
30,1.5,0.000938105
30,1.55102,0.119126
30,1.60204,1.48378
30,1.65306,4.5965
30,1.70408,2.63928
30,1.7551,0
30,1.80612,0
30,1.85714,0
30,1.90816,0
30,1.95918,0
30,2.0102,0
30,2.06122,0
30,2.11224,0
30,2.16327,0
30,2.21429,0
30,2.26531,0
30,2.31633,0
30,2.36735,0
30,2.41837,0
30,2.46939,0
30,2.52041,0
30,2.57143,0
30,2.62245,0
30,2.67347,0
