ExperimentType,VariedParam,VariedValue,b,theta,delta,gamma,MeanAlpha_s0,MeanAlpha_s1,PercentDiff
thetaLoop,theta,1,19.3235,1,0.849909,2.38995,3.3839,3.47869,2.80138
thetaLoop,theta,1.5,19.3235,1.5,0.849909,2.38995,3.39111,3.43484,1.28956
thetaLoop,theta,0.5,15.809,0.5,0.615324,2.43438,3.44142,3.54031,2.87361
thetaLoop,theta,2,19.3235,2,0.849909,2.38995,3.40048,3.41847,0.529099
thetaLoop,theta,1,13.1527,1,0.801311,1.50412,2.49939,2.61811,4.74986
thetaLoop,theta,1.5,13.1527,1.5,0.801311,1.50412,2.50942,2.59546,3.4287
thetaLoop,theta,0.5,12.2306,0.5,0.339418,1.74526,2.73451,2.79033,2.04146
thetaLoop,theta,0.5,6.19595,0.5,0.885977,2.1666,0,0,0
thetaLoop,theta,2,13.1527,2,0.801311,1.50412,2.50498,2.57145,2.65366
thetaLoop,theta,0.5,11.1647,0.5,0.768382,0.895247,1.89856,2.11732,11.5225
thetaLoop,theta,1,19.4213,1,0.647056,1.20687,2.2051,2.30114,4.35528
thetaLoop,theta,1.5,19.4213,1.5,0.647056,1.20687,2.2017,2.27578,3.36451
thetaLoop,theta,2,19.4213,2,0.647056,1.20687,2.20313,2.25443,2.32875
thetaLoop,theta,0.5,9.13126,0.5,0.726452,1.96811,2.96412,3.10294,4.68324
thetaLoop,theta,1,7.42829,1,0.418748,1.09284,2.09597,2.18306,4.1552
thetaLoop,theta,1.5,7.42829,1.5,0.418748,1.09284,2.09652,2.17389,3.69055
thetaLoop,theta,2,7.42829,2,0.418748,1.09284,2.09973,2.21175,5.33493
thetaLoop,theta,1,5.71922,1,0.866094,0.837288,1.84028,2.01042,9.24546
thetaLoop,theta,0.5,12.5129,0.5,0.451361,2.29226,3.28835,3.36413,2.30445
thetaLoop,theta,1.5,5.71922,1.5,0.866094,0.837288,1.8388,2.01773,9.73102
thetaLoop,theta,2,5.71922,2,0.866094,0.837288,1.83304,2.07424,13.1586
thetaLoop,theta,0.5,8.22991,0.5,0.622329,1.8053,2.79906,2.9305,4.6959
thetaLoop,theta,1,15.809,1,0.615324,2.43438,3.43234,3.48891,1.64815
thetaLoop,theta,1.5,15.809,1.5,0.615324,2.43438,3.43836,3.46642,0.81615
thetaLoop,theta,0.5,7.87729,0.5,0.658585,0.677615,1.68339,1.88131,11.7567
thetaLoop,theta,2,15.809,2,0.615324,2.43438,3.43286,3.44902,0.470693
thetaLoop,theta,1,12.2306,1,0.339418,1.74526,2.75731,2.78594,1.03805
thetaLoop,theta,1.5,12.2306,1.5,0.339418,1.74526,2.74698,2.77145,0.890975
thetaLoop,theta,0.5,18.9315,0.5,0.60342,2.03653,3.0325,3.16258,4.28951
thetaLoop,theta,2,12.2306,2,0.339418,1.74526,2.74603,2.77779,1.15662
thetaLoop,theta,1,6.19595,1,0.885977,2.1666,3.16445,3.27023,3.34278
thetaLoop,theta,0.5,11.5661,0.5,0.933963,1.09487,2.09681,0,-100
thetaLoop,theta,1.5,6.19595,1.5,0.885977,2.1666,3.16011,3.25598,3.0338
thetaLoop,theta,1,11.1647,1,0.768382,0.895247,1.9003,2.04011,7.35704
thetaLoop,theta,0.5,10.8724,0.5,0.287043,0.737966,1.73414,1.82135,5.02924
thetaLoop,theta,2,6.19595,2,0.885977,2.1666,3.16991,3.26585,3.02681
thetaLoop,theta,1.5,11.1647,1.5,0.768382,0.895247,1.89451,2.01083,6.1398
thetaLoop,theta,0.5,5.40414,0.5,0.568482,1.6649,2.66448,2.77527,4.15801
thetaLoop,theta,1,9.13126,1,0.726452,1.96811,2.97238,3.05897,2.91324
thetaLoop,theta,2,11.1647,2,0.768382,0.895247,1.89221,2.00147,5.77425
thetaLoop,theta,0.5,5.11106,0.5,0.421917,0.75997,1.75405,1.87331,6.79928
thetaLoop,theta,1.5,9.13126,1.5,0.726452,1.96811,2.96661,3.03886,2.43536
thetaLoop,theta,1,12.5129,1,0.451361,2.29226,3.29622,3.33338,1.12728
thetaLoop,theta,0.5,15.1744,0.5,0.254998,1.70639,2.70322,2.73841,1.30178
thetaLoop,theta,2,9.13126,2,0.726452,1.96811,2.97125,3.02758,1.89576
thetaLoop,theta,1.5,12.5129,1.5,0.451361,2.29226,3.29275,3.31242,0.597342
thetaLoop,theta,1,8.22991,1,0.622329,1.8053,2.80641,2.89559,3.17762
thetaLoop,theta,0.5,7.81561,0.5,0.67143,0.985643,1.98735,2.15917,8.64562
thetaLoop,theta,2,12.5129,2,0.451361,2.29226,3.30376,3.30292,-0.0252199
thetaLoop,theta,1.5,8.22991,1.5,0.622329,1.8053,2.80607,2.87116,2.31933
thetaLoop,theta,0.5,9.93432,0.5,0.300584,1.74425,2.73513,2.79309,2.11917
thetaLoop,theta,1,7.87729,1,0.658585,0.677615,1.68022,1.82671,8.71874
thetaLoop,theta,1.5,7.87729,1.5,0.658585,0.677615,1.67502,1.82509,8.95955
thetaLoop,theta,2,8.22991,2,0.622329,1.8053,2.8159,2.87891,2.23769
thetaLoop,theta,0.5,18.0971,0.5,0.712611,1.03181,2.02922,2.22798,9.79455
thetaLoop,theta,0.5,9.76162,0.5,0.982038,1.93071,0,0,0
thetaLoop,theta,1,18.9315,1,0.60342,2.03653,3.05059,3.09052,1.30899
thetaLoop,theta,2,7.87729,2,0.658585,0.677615,1.68255,1.85693,10.3638
thetaLoop,theta,1.5,18.9315,1.5,0.60342,2.03653,3.03134,3.06604,1.14467
thetaLoop,theta,0.5,11.654,0.5,0.663087,1.11785,2.11577,2.29917,8.66837
thetaLoop,theta,1,11.5661,1,0.933963,1.09487,2.09586,2.26417,8.03029
thetaLoop,theta,1.5,11.5661,1.5,0.933963,1.09487,2.10117,2.21804,5.56213
thetaLoop,theta,0.5,6.68579,0.5,0.340982,2.05991,3.06007,3.11484,1.79
thetaLoop,theta,2,18.9315,2,0.60342,2.03653,3.04875,3.05418,0.178171
thetaLoop,theta,1,10.8724,1,0.287043,0.737966,1.7365,1.79267,3.23494
thetaLoop,theta,1.5,10.8724,1.5,0.287043,0.737966,1.74602,1.80065,3.12833
thetaLoop,theta,1,5.40414,1,0.568482,1.6649,2.66056,2.75888,3.69571
thetaLoop,theta,0.5,17.5419,0.5,0.25433,1.53683,2.54892,2.57394,0.981266
thetaLoop,theta,2,11.5661,2,0.933963,1.09487,2.09673,2.19985,4.91791
thetaLoop,theta,1,5.11106,1,0.421917,0.75997,1.75938,1.89279,7.58261
thetaLoop,theta,1.5,5.40414,1.5,0.568482,1.6649,2.66275,2.76402,3.80336
thetaLoop,theta,0.5,14.4814,0.5,0.264577,1.29712,2.29472,2.34102,2.0175
thetaLoop,theta,2,10.8724,2,0.287043,0.737966,1.73787,1.81516,4.44765
thetaLoop,theta,1.5,5.11106,1.5,0.421917,0.75997,1.76327,1.94857,10.5089
thetaLoop,theta,1,15.1744,1,0.254998,1.70639,2.70899,2.72637,0.641515
thetaLoop,theta,0.5,16.9792,0.5,0.295289,1.91684,2.90955,2.95277,1.48556
thetaLoop,theta,2,5.40414,2,0.568482,1.6649,2.66207,2.79072,4.83298
thetaLoop,theta,1,7.81561,1,0.67143,0.985643,1.98881,2.1103,6.10868
thetaLoop,theta,1.5,15.1744,1.5,0.254998,1.70639,2.71713,2.71412,-0.110979
thetaLoop,theta,0.5,12.8213,0.5,0.550381,1.93056,2.94471,3.03335,3.01023
thetaLoop,theta,2,5.11106,2,0.421917,0.75997,1.75469,2.00952,14.5231
thetaLoop,theta,1,9.93432,1,0.300584,1.74425,2.75362,2.76727,0.495423
thetaLoop,theta,1.5,7.81561,1.5,0.67143,0.985643,1.98492,2.12033,6.82208
thetaLoop,theta,0.5,12.4897,0.5,0.635275,0.941904,1.94085,2.11944,9.20167
thetaLoop,theta,0.5,10.5338,0.5,0.933296,2.1029,0,0,0
thetaLoop,theta,0.5,9.24653,0.5,0.94883,1.70162,0,0,0
thetaLoop,theta,2,15.1744,2,0.254998,1.70639,2.70763,2.70687,-0.0281228
thetaLoop,theta,1.5,9.93432,1.5,0.300584,1.74425,2.74634,2.77031,0.87299
thetaLoop,theta,1,18.0971,1,0.712611,1.03181,2.03958,2.14114,4.97969
thetaLoop,theta,0.5,15.22,0.5,0.40445,2.36436,3.36819,3.43414,1.95802
thetaLoop,theta,2,7.81561,2,0.67143,0.985643,1.99746,2.13291,6.78079
thetaLoop,theta,1.5,18.0971,1.5,0.712611,1.03181,2.03334,2.09728,3.14452
thetaLoop,theta,1,9.76162,1,0.982038,1.93071,2.93118,3.05645,4.27387
thetaLoop,theta,0.5,14.1952,0.5,0.339042,0.784833,1.78146,1.88622,5.88018
thetaLoop,theta,2,9.93432,2,0.300584,1.74425,2.76391,2.77728,0.483685
thetaLoop,theta,0.5,8.08298,0.5,0.765164,0.666225,1.66705,1.89307,13.5583
thetaLoop,theta,0.5,17.3946,0.5,0.85547,2.16727,0,0,0
thetaLoop,theta,1,11.654,1,0.663087,1.11785,2.1234,2.24018,5.49942
thetaLoop,theta,1.5,9.76162,1.5,0.982038,1.93071,2.92514,3.03453,3.73953
thetaLoop,theta,2,18.0971,2,0.712611,1.03181,2.04202,2.09211,2.45309
thetaLoop,theta,0.5,12.6843,0.5,0.430336,1.55332,2.54705,2.64077,3.67934
thetaLoop,theta,1,6.68579,1,0.340982,2.05991,3.06165,3.09669,1.14456
thetaLoop,theta,1.5,11.654,1.5,0.663087,1.11785,2.1197,2.21254,4.37946
thetaLoop,theta,2,9.76162,2,0.982038,1.93071,2.93126,3.01383,2.81669
thetaLoop,theta,0.5,6.32122,0.5,0.389307,2.03219,3.03575,3.09518,1.95769
thetaLoop,theta,1,17.5419,1,0.25433,1.53683,2.53285,2.55365,0.821516
thetaLoop,theta,1.5,6.68579,1.5,0.340982,2.05991,3.05753,3.10534,1.56363
thetaLoop,theta,2,11.654,2,0.663087,1.11785,2.11597,2.20259,4.09401
thetaLoop,theta,1,14.4814,1,0.264577,1.29712,2.29655,2.32813,1.37518
thetaLoop,theta,0.5,18.9662,0.5,0.740945,1.12399,2.12878,2.34481,10.1478
thetaLoop,theta,1.5,17.5419,1.5,0.25433,1.53683,2.54506,2.55119,0.240713
thetaLoop,theta,1,16.9792,1,0.295289,1.91684,2.92188,2.92861,0.230216
thetaLoop,theta,2,6.68579,2,0.340982,2.05991,3.05647,3.11941,2.05928
thetaLoop,theta,0.5,9.62108,0.5,0.36311,2.10688,3.11422,3.1613,1.5119
thetaLoop,theta,1.5,14.4814,1.5,0.264577,1.29712,2.30102,2.32388,0.993698
thetaLoop,theta,0.5,5.20184,0.5,0.637493,1.47393,2.47503,2.59237,4.74079
thetaLoop,theta,2,17.5419,2,0.25433,1.53683,2.5448,2.54425,-0.0213939
thetaLoop,theta,1,12.8213,1,0.550381,1.93056,2.93294,2.98796,1.87611
thetaLoop,theta,0.5,9.14127,0.5,0.864511,1.36117,2.36223,0,-100
thetaLoop,theta,1.5,16.9792,1.5,0.295289,1.91684,2.92251,2.91908,-0.117271
thetaLoop,theta,2,14.4814,2,0.264577,1.29712,2.30451,2.32546,0.909103
thetaLoop,theta,1,12.4897,1,0.635275,0.941904,1.93607,2.05398,6.09007
thetaLoop,theta,1.5,12.8213,1.5,0.550381,1.93056,2.93131,2.96142,1.02735
thetaLoop,theta,2,16.9792,2,0.295289,1.91684,2.91921,2.91361,-0.191774
thetaLoop,theta,1,10.5338,1,0.933296,2.1029,3.10484,3.22478,3.8629
thetaLoop,theta,1.5,12.4897,1.5,0.635275,0.941904,1.94535,2.04095,4.91467
thetaLoop,theta,1,9.24653,1,0.94883,1.70162,2.70318,2.84495,5.24458
thetaLoop,theta,2,12.8213,2,0.550381,1.93056,2.93269,2.9513,0.634476
thetaLoop,theta,1.5,10.5338,1.5,0.933296,2.1029,3.10382,3.19392,2.90261
thetaLoop,theta,1,15.22,1,0.40445,2.36436,3.3645,3.3797,0.451734
thetaLoop,theta,2,12.4897,2,0.635275,0.941904,1.93903,2.02492,4.42924
thetaLoop,theta,1.5,9.24653,1.5,0.94883,1.70162,2.70015,2.81578,4.2825
thetaLoop,theta,1,14.1952,1,0.339042,0.784833,1.7844,1.84368,3.32225
thetaLoop,theta,2,10.5338,2,0.933296,2.1029,3.10489,3.1742,2.2322
thetaLoop,theta,1.5,15.22,1.5,0.40445,2.36436,3.37029,3.38309,0.379914
thetaLoop,theta,1,8.08298,1,0.765164,0.666225,1.66727,1.83503,10.0625
thetaLoop,theta,2,9.24653,2,0.94883,1.70162,2.69338,2.78645,3.45558
thetaLoop,theta,1.5,14.1952,1.5,0.339042,0.784833,1.78898,1.83026,2.3077
thetaLoop,theta,1,17.3946,1,0.85547,2.16727,3.17819,3.26953,2.87413
thetaLoop,theta,1.5,8.08298,1.5,0.765164,0.666225,1.66906,1.81998,9.042
thetaLoop,theta,2,15.22,2,0.40445,2.36436,3.37904,3.3696,-0.279363
thetaLoop,theta,1,12.6843,1,0.430336,1.55332,2.56071,2.60665,1.79405
thetaLoop,theta,2,14.1952,2,0.339042,0.784833,1.78069,1.8381,3.22375
thetaLoop,theta,1.5,17.3946,1.5,0.85547,2.16727,3.16774,3.21917,1.62338
thetaLoop,theta,1,6.32122,1,0.389307,2.03219,3.03184,3.08033,1.59912
thetaLoop,theta,2,8.08298,2,0.765164,0.666225,1.66663,1.84355,10.6155
thetaLoop,theta,1.5,12.6843,1.5,0.430336,1.55332,2.54714,2.59406,1.84219
thetaLoop,theta,1,18.9662,1,0.740945,1.12399,2.12217,2.23669,5.39644
thetaLoop,theta,1.5,6.32122,1.5,0.389307,2.03219,3.04125,3.08691,1.50135
thetaLoop,theta,2,17.3946,2,0.85547,2.16727,3.17587,3.20783,1.00639
thetaLoop,theta,1,9.62108,1,0.36311,2.10688,3.11389,3.13082,0.543729
thetaLoop,theta,2,12.6843,2,0.430336,1.55332,2.56271,2.59251,1.16299
thetaLoop,theta,1.5,18.9662,1.5,0.740945,1.12399,2.13055,2.20757,3.61482
thetaLoop,theta,1,5.20184,1,0.637493,1.47393,2.48238,2.57176,3.60064
thetaLoop,theta,2,6.32122,2,0.389307,2.03219,3.03578,3.09743,2.03091
thetaLoop,theta,1,9.14127,1,0.864511,1.36117,2.36517,2.50165,5.77022
thetaLoop,theta,1.5,9.62108,1.5,0.36311,2.10688,3.1087,3.14343,1.11726
thetaLoop,theta,1.5,5.20184,1.5,0.637493,1.47393,2.46728,2.59056,4.99672
thetaLoop,theta,2,18.9662,2,0.740945,1.12399,2.12543,2.17773,2.46026
thetaLoop,theta,1.5,9.14127,1.5,0.864511,1.36117,2.36359,2.47221,4.59554
thetaLoop,theta,2,9.62108,2,0.36311,2.10688,3.10669,3.13605,0.945016
thetaLoop,theta,2,5.20184,2,0.637493,1.47393,2.47902,2.63301,6.21187
thetaLoop,theta,2,9.14127,2,0.864511,1.36117,2.36323,2.46399,4.2637
gammaLoop,gamma,0.63,9.40262,1.68253,0.940568,0.63,1.62889,1.7776,9.12977
gammaLoop,gamma,1,9.40262,1.68253,0.940568,1,1.99921,2.13389,6.73691
gammaLoop,gamma,1.5,9.40262,1.68253,0.940568,1.5,2.49332,2.60832,4.61233
gammaLoop,gamma,2,9.40262,1.68253,0.940568,2,3.00014,3.09092,3.02562
gammaLoop,gamma,2.5,9.40262,1.68253,0.940568,2.5,3.50385,3.56889,1.85626
gammaLoop,gamma,0.63,13.2171,1.21006,0.321742,0.63,1.63235,1.69097,3.59074
gammaLoop,gamma,1,13.2171,1.21006,0.321742,1,1.99443,2.04283,2.42669
gammaLoop,gamma,1.5,13.2171,1.21006,0.321742,1.5,2.49252,2.5306,1.52762
gammaLoop,gamma,2,13.2171,1.21006,0.321742,2,2.99479,3.02496,1.00745
gammaLoop,gamma,2.5,13.2171,1.21006,0.321742,2.5,3.5019,3.51018,0.236502
gammaLoop,gamma,0.63,12.4191,1.34009,0.960049,0.63,1.63843,1.78824,9.14379
gammaLoop,gamma,1,12.4191,1.34009,0.960049,1,1.99975,2.14212,7.11901
gammaLoop,gamma,1.5,12.4191,1.34009,0.960049,1.5,2.50032,2.61256,4.48887
gammaLoop,gamma,2,12.4191,1.34009,0.960049,2,3.00337,3.09116,2.92316
gammaLoop,gamma,2.5,12.4191,1.34009,0.960049,2.5,3.50698,3.58279,2.1617
gammaLoop,gamma,0.63,6.11626,1.2389,0.307687,0.63,1.6319,1.75743,7.69194
gammaLoop,gamma,1,6.11626,1.2389,0.307687,1,2.00021,2.08038,4.00786
gammaLoop,gamma,1.5,6.11626,1.2389,0.307687,1.5,2.50083,2.56101,2.40636
gammaLoop,gamma,2,6.11626,1.2389,0.307687,2,2.99728,3.0463,1.63558
gammaLoop,gamma,2.5,6.11626,1.2389,0.307687,2.5,3.50872,3.53114,0.639012
gammaLoop,gamma,0.63,14.23,0.956349,0.779666,0.63,1.63564,1.79051,9.46872
gammaLoop,gamma,1,14.23,0.956349,0.779666,1,1.99975,2.14374,7.20053
gammaLoop,gamma,1.5,14.23,0.956349,0.779666,1.5,2.49242,2.60408,4.47974
gammaLoop,gamma,0.63,5.75942,0.554039,0.851909,0.63,1.62997,1.83613,12.6478
gammaLoop,gamma,2,14.23,0.956349,0.779666,2,2.99883,3.09822,3.31407
gammaLoop,gamma,2,5.75942,0.554039,0.851909,2,0,0,0
gammaLoop,gamma,1,5.75942,0.554039,0.851909,1,1.99385,2.16083,8.37461
gammaLoop,gamma,2.5,14.23,0.956349,0.779666,2.5,3.50381,3.56967,1.87959
gammaLoop,gamma,2.5,5.75942,0.554039,0.851909,2.5,0,0,0
gammaLoop,gamma,1.5,5.75942,0.554039,0.851909,1.5,2.50226,2.59637,3.76088
gammaLoop,gamma,0.63,17.7744,1.17902,0.342889,0.63,1.63908,1.68911,3.05197
gammaLoop,gamma,2,17.7744,1.17902,0.342889,2,3.00473,3.01197,0.240686
gammaLoop,gamma,1,17.7744,1.17902,0.342889,1,1.99772,2.03003,1.61758
gammaLoop,gamma,1.5,17.7744,1.17902,0.342889,1.5,2.50185,2.52604,0.967153
gammaLoop,gamma,2.5,17.7744,1.17902,0.342889,2.5,3.50401,3.50595,0.0556254
gammaLoop,gamma,0.63,9.83745,0.810668,0.292947,0.63,1.63131,1.70365,4.43402
gammaLoop,gamma,1,9.83745,0.810668,0.292947,1,2.01137,2.05879,2.35785
gammaLoop,gamma,2,9.83745,0.810668,0.292947,2,3.00622,3.03957,1.10947
gammaLoop,gamma,1.5,9.83745,0.810668,0.292947,1.5,2.50457,2.53313,1.14018
gammaLoop,gamma,2.5,9.83745,0.810668,0.292947,2.5,3.49637,3.52008,0.678151
gammaLoop,gamma,0.63,19.3235,0.585861,0.849909,0.63,1.63459,1.88921,15.5766
gammaLoop,gamma,1,19.3235,0.585861,0.849909,1,2.00909,2.22649,10.8212
gammaLoop,gamma,2,19.3235,0.585861,0.849909,2,2.99349,3.16899,5.86288
gammaLoop,gamma,1.5,19.3235,0.585861,0.849909,1.5,2.50598,2.69803,7.66389
gammaLoop,gamma,2.5,19.3235,0.585861,0.849909,2.5,3.50528,3.64978,4.1224
gammaLoop,gamma,0.63,13.1527,0.760608,0.801311,0.63,1.64042,1.82777,11.4209
gammaLoop,gamma,1,13.1527,0.760608,0.801311,1,1.99859,2.16394,8.27349
gammaLoop,gamma,2,13.1527,0.760608,0.801311,2,3.00361,3.13337,4.32031
gammaLoop,gamma,1.5,13.1527,0.760608,0.801311,1.5,2.4939,2.65453,6.44087
gammaLoop,gamma,2.5,13.1527,0.760608,0.801311,2.5,3.50893,3.61294,2.964
gammaLoop,gamma,0.63,19.4213,0.521628,0.647056,0.63,1.6256,1.83949,13.1571
gammaLoop,gamma,1,19.4213,0.521628,0.647056,1,1.99532,2.18307,9.40978
gammaLoop,gamma,2,19.4213,0.521628,0.647056,2,2.99278,3.13014,4.58948
gammaLoop,gamma,0.63,7.42829,0.597232,0.418748,0.63,1.63505,1.75431,7.2942
gammaLoop,gamma,1.5,19.4213,0.521628,0.647056,1.5,2.50037,2.65125,6.0342
gammaLoop,gamma,1,7.42829,0.597232,0.418748,1,2.00734,2.10329,4.77996
gammaLoop,gamma,2.5,19.4213,0.521628,0.647056,2.5,3.49911,3.62673,3.64724
gammaLoop,gamma,2,7.42829,0.597232,0.418748,2,3.00439,3.05407,1.65362
gammaLoop,gamma,1.5,7.42829,0.597232,0.418748,1.5,2.5051,2.57764,2.89546
gammaLoop,gamma,0.63,5.71922,1.90809,0.866094,0.63,1.64309,1.88523,14.7371
gammaLoop,gamma,2.5,7.42829,0.597232,0.418748,2.5,3.49744,3.55439,1.62848
gammaLoop,gamma,1,5.71922,1.90809,0.866094,1,2.00055,2.20106,10.0223
gammaLoop,gamma,2,5.71922,1.90809,0.866094,2,3.00098,3.11495,3.79773
gammaLoop,gamma,1.5,5.71922,1.90809,0.866094,1.5,2.50648,2.63562,5.15259
gammaLoop,gamma,0.63,15.809,1.74412,0.615324,0.63,1.62591,1.71257,5.3297
gammaLoop,gamma,1,15.809,1.74412,0.615324,1,1.9982,2.06537,3.36173
gammaLoop,gamma,2.5,5.71922,1.90809,0.866094,2.5,3.49961,3.58508,2.44215
gammaLoop,gamma,0.63,12.2306,1.05926,0.339418,0.63,1.63763,1.69412,3.44942
gammaLoop,gamma,1.5,15.809,1.74412,0.615324,1.5,2.50051,2.54535,1.7933
gammaLoop,gamma,2,15.809,1.74412,0.615324,2,2.99496,3.02711,1.07341
gammaLoop,gamma,1,12.2306,1.05926,0.339418,1,1.99658,2.05537,2.94455
gammaLoop,gamma,2.5,15.809,1.74412,0.615324,2.5,3.50214,3.52257,0.5834
gammaLoop,gamma,0.63,6.19595,1.5522,0.885977,0.63,1.63324,1.83408,12.297
gammaLoop,gamma,1.5,12.2306,1.05926,0.339418,1.5,2.50378,2.53433,1.21994
gammaLoop,gamma,2,12.2306,1.05926,0.339418,2,2.99906,3.02069,0.721419
gammaLoop,gamma,1,6.19595,1.5522,0.885977,1,2.00347,2.17208,8.41628
gammaLoop,gamma,2.5,12.2306,1.05926,0.339418,2.5,3.50855,3.51391,0.152944
gammaLoop,gamma,0.63,11.1647,1.78098,0.768382,0.63,1.63202,1.75029,7.24699
gammaLoop,gamma,1.5,6.19595,1.5522,0.885977,1.5,2.50396,2.62654,4.89529
gammaLoop,gamma,2,6.19595,1.5522,0.885977,2,2.99761,3.10854,3.7006
gammaLoop,gamma,1,11.1647,1.78098,0.768382,1,1.99296,2.11127,5.9367
gammaLoop,gamma,0.63,9.13126,0.925601,0.726452,0.63,1.62957,1.79587,10.2049
gammaLoop,gamma,2.5,6.19595,1.5522,0.885977,2.5,3.50744,3.57713,1.98697
gammaLoop,gamma,1.5,11.1647,1.78098,0.768382,1.5,2.49817,2.5729,2.99134
gammaLoop,gamma,1,9.13126,0.925601,0.726452,1,2.00268,2.13254,6.48399
gammaLoop,gamma,2,11.1647,1.78098,0.768382,2,2.99806,3.06455,2.21776
gammaLoop,gamma,0.63,12.5129,0.744063,0.451361,0.63,1.63567,1.74081,6.4283
gammaLoop,gamma,2.5,11.1647,1.78098,0.768382,2.5,3.50849,3.55,1.18296
gammaLoop,gamma,1.5,9.13126,0.925601,0.726452,1.5,2.50388,2.61335,4.37199
gammaLoop,gamma,1,12.5129,0.744063,0.451361,1,1.98967,2.08469,4.77565
gammaLoop,gamma,0.63,8.22991,0.902083,0.622329,0.63,1.63102,1.77548,8.85698
gammaLoop,gamma,2,9.13126,0.925601,0.726452,2,3.0022,3.09497,3.09009
gammaLoop,gamma,1,8.22991,0.902083,0.622329,1,1.99984,2.12857,6.43691
gammaLoop,gamma,1.5,12.5129,0.744063,0.451361,1.5,2.51499,2.55912,1.75489
gammaLoop,gamma,2.5,9.13126,0.925601,0.726452,2.5,3.50304,3.5924,2.55078
gammaLoop,gamma,0.63,7.87729,1.54059,0.658585,0.63,1.63152,1.78634,9.48954
gammaLoop,gamma,2,12.5129,0.744063,0.451361,2,3.00533,3.05006,1.48824
gammaLoop,gamma,1.5,8.22991,0.902083,0.622329,1.5,2.50251,2.60031,3.90798
gammaLoop,gamma,1,7.87729,1.54059,0.658585,1,2.00824,2.13315,6.21961
gammaLoop,gamma,2.5,12.5129,0.744063,0.451361,2.5,3.49788,3.55338,1.58652
gammaLoop,gamma,2,8.22991,0.902083,0.622329,2,3.0039,3.08043,2.54779
gammaLoop,gamma,0.63,18.9315,1.37805,0.60342,0.63,1.63937,1.71524,4.62819
gammaLoop,gamma,1.5,7.87729,1.54059,0.658585,1.5,2.49903,2.60066,4.06707
gammaLoop,gamma,1,18.9315,1.37805,0.60342,1,1.99977,2.07232,3.62778
gammaLoop,gamma,2.5,8.22991,0.902083,0.622329,2.5,3.50713,3.56957,1.7804
gammaLoop,gamma,2,7.87729,1.54059,0.658585,2,3.00982,3.06635,1.87826
gammaLoop,gamma,0.63,11.5661,0.788708,0.933963,0.63,1.63204,1.86037,13.9907
gammaLoop,gamma,1.5,18.9315,1.37805,0.60342,1.5,2.49877,2.55555,2.27241
gammaLoop,gamma,0.63,10.8724,0.555637,0.287043,0.63,1.62797,1.70171,4.52993
gammaLoop,gamma,1,11.5661,0.788708,0.933963,1,1.99813,2.19599,9.90205
